Unnamed: 0,domain,phylum,class,order,family,genus,species,Breast (N),Breast (NAT),Breast (T),Lung (NAT),Lung (T),Melanoma (T),Pancreas (T),Ovary (N+NAT),Ovary (T),Bone (T),GBM (T),Colon (NAT),Colon (T)
5335,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus sciuri,0,0,1,0,0,0,0,0,0,0,0,0,0
5338,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus warneri,0,1,1,1,1,0,0,0,0,0,0,0,0
5362,Bacteria,Firmicutes,Bacilli,Bacillales,Unknown species,Exiguobacterium,Exiguobacterium aurantiacum,0,0,1,0,0,0,0,0,0,0,0,0,0
5377,Bacteria,Firmicutes,Bacilli,Bacillales,Unknown species,Gemella,Gemella haemolysans,0,1,1,0,0,0,0,0,0,0,0,1,0
5379,Bacteria,Firmicutes,Bacilli,Bacillales,Unknown species,Gemella,Gemella sanguinis,0,0,1,0,0,0,0,0,0,0,0,1,1
5483,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Alloiococcus,Alloiococcus otitis,0,0,1,0,0,0,0,0,0,0,0,0,0
5527,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Desemzia,Desemzia incerta,0,0,0,1,0,0,0,0,0,0,0,0,0
5552,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Granulicatella,Granulicatella adiacens,0,1,1,0,0,0,1,0,0,0,0,1,1
5553,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Granulicatella,Granulicatella elegans,0,0,1,0,0,0,0,0,0,0,0,0,0
5577,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus cecorum,0,0,1,1,0,0,0,0,0,0,0,0,0
5580,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus durans,0,0,0,0,0,0,0,0,0,0,0,1,0
5582,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecium,0,0,0,0,0,0,1,0,0,0,0,1,1
5583,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus gallinarum,0,0,0,0,0,0,1,0,0,0,0,0,0
5666,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus acidophilus,0,0,0,0,0,0,0,0,0,0,0,0,1
5674,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus casei,0,0,1,0,0,0,0,0,0,0,0,0,0
5679,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus delbrueckii,0,0,0,0,0,0,0,0,0,0,0,1,1
5683,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus gasseri,0,0,0,0,0,0,0,0,0,0,0,1,1
5687,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus iners,0,1,1,0,1,0,0,0,0,0,0,0,0
5692,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus kitasatonis,0,0,0,0,0,0,0,0,0,0,0,0,1
5702,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus plantarum,0,0,0,0,0,0,0,0,0,0,0,1,0
5705,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus ruminis,0,0,0,0,0,0,0,0,0,0,0,1,1
5706,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus sakei,0,0,0,0,0,0,0,1,0,0,0,0,0
5707,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus salivarius,0,0,0,0,0,0,0,0,0,0,0,0,1
5711,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus vaginalis,0,0,0,0,0,0,0,0,0,0,0,1,1
5724,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Leuconostoc,Leuconostoc citreum,0,0,1,1,0,0,0,1,0,0,0,0,0
5725,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Leuconostoc,Leuconostoc gasicomitatum,0,1,0,0,0,0,0,0,0,0,0,0,0
