index,ID,Breast (NAT)_sum,Breast (N)_sum,Breast (N-FA)_sum,Breast (T)_sum,Lung (NAT)_sum,Lung (T)_sum,Melanoma (T)_sum,Pancreas (T)_sum,Ovary (NAT)_sum,Ovary (N- fallop)_sum,Ovary (T)_sum,Colon (NAT)_sum,Colon (T)_sum,Bone (T)_sum,GBM (T)_sum
266,Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces_Unknown species267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267,Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces_Unknown species269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces_Unknown species285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces_Unknown species289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces_Unknown species299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
274,Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces_Unknown species302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces_Unknown species310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces_Unknown species314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces_Unknown species316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
278,Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces_Unknown species32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
279,Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces_Unknown species321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282,Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces_Unknown species328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283,Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces_Unknown species329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284,Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces_Unknown species333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces_Unknown species339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286,Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces_Unknown species341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
289,Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces_Unknown species359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
291,Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces_Unknown species364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
294,Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces_Unknown species368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
296,Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces_Unknown species377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299,Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces_Unknown species389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces_Unknown species397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces_Unknown species398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces_Unknown species404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces_Unknown species414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces_Unknown species415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
307,Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces_Unknown species417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces_Unknown species418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces_Unknown species425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces_Unknown species440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314,Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces_Unknown species446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
315,Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces_Unknown species447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
316,Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces_Unknown species448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
317,Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces_Unknown species449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318,Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces_Unknown species450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
319,Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces_Unknown species451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
