Feature ID	Taxon	Confidence
Archaea_Crenarchaeota_MCG_Unknown_order_Unknown_family_Assigned_genus81_Assigned_species13_84	d__Archaea; p__Crenarchaeota; c__Bathyarchaeia; o__Bathyarchaeia; f__Bathyarchaeia; g__Bathyarchaeia; s__uncultured_crenarchaeote	0.96113983
Archaea_Crenarchaeota_MCG_Unknown_order_Unknown_family_Assigned_genus81_Assigned_species13_85	d__Archaea; p__Crenarchaeota; c__Bathyarchaeia; o__Bathyarchaeia; f__Bathyarchaeia; g__Bathyarchaeia; s__uncultured_crenarchaeote	0.958281494
Archaea_Crenarchaeota_MCG_Unknown_order_Unknown_family_Assigned_genus81_Assigned_species13_86	d__Archaea; p__Crenarchaeota; c__Bathyarchaeia; o__Bathyarchaeia; f__Bathyarchaeia; g__Bathyarchaeia; s__uncultured_crenarchaeote	0.962335496
Archaea_Crenarchaeota_MCG_Unknown_order_Unknown_family_Assigned_genus81_Assigned_species13_87	d__Archaea; p__Crenarchaeota; c__Bathyarchaeia; o__Bathyarchaeia; f__Bathyarchaeia; g__Bathyarchaeia; s__uncultured_crenarchaeote	0.958874495
Archaea_Crenarchaeota_MCG_Unknown_order_Unknown_family_Assigned_genus81_Assigned_species13_88	d__Archaea; p__Crenarchaeota; c__Bathyarchaeia; o__Bathyarchaeia; f__Bathyarchaeia; g__Bathyarchaeia; s__uncultured_crenarchaeote	0.958411223
Archaea_Crenarchaeota_MCG_Unknown_order_Unknown_family_Assigned_genus81_Assigned_species13_89	d__Archaea; p__Crenarchaeota; c__Bathyarchaeia; o__Bathyarchaeia; f__Bathyarchaeia; g__Bathyarchaeia; s__uncultured_crenarchaeote	0.955219155
Archaea_Crenarchaeota_MCG_Unknown_order_Unknown_family_Assigned_genus81_Assigned_species13_90	d__Archaea; p__Crenarchaeota; c__Bathyarchaeia; o__Bathyarchaeia; f__Bathyarchaeia; g__Bathyarchaeia; s__uncultured_crenarchaeote	0.956480773
Archaea_Crenarchaeota_MCG_Unknown_order_Unknown_family_Assigned_genus81_Assigned_species13_91	d__Archaea; p__Crenarchaeota; c__Bathyarchaeia; o__Bathyarchaeia; f__Bathyarchaeia; g__Bathyarchaeia; s__uncultured_crenarchaeote	0.952504495
Archaea_Crenarchaeota_MCG_Unknown_order_Unknown_family_Assigned_genus81_Assigned_species13_92	d__Archaea; p__Crenarchaeota; c__Bathyarchaeia; o__Bathyarchaeia; f__Bathyarchaeia; g__Bathyarchaeia; s__uncultured_crenarchaeote	0.951993417
Archaea_Crenarchaeota_MCG_Unknown_order_Unknown_family_Assigned_genus81_Assigned_species13_93	d__Archaea; p__Crenarchaeota; c__Bathyarchaeia; o__Bathyarchaeia; f__Bathyarchaeia; g__Bathyarchaeia; s__uncultured_crenarchaeote	0.948318499
Archaea_Crenarchaeota_MCG_Unknown_order_Unknown_family_Assigned_genus81_Assigned_species13_94	d__Archaea; p__Crenarchaeota; c__Bathyarchaeia; o__Bathyarchaeia; f__Bathyarchaeia; g__Bathyarchaeia; s__uncultured_crenarchaeote	0.966495705
Archaea_Crenarchaeota_MCG_Unknown_order_Unknown_family_Assigned_genus81_Assigned_species13_95	d__Archaea; p__Crenarchaeota; c__Bathyarchaeia; o__Bathyarchaeia; f__Bathyarchaeia; g__Bathyarchaeia; s__uncultured_crenarchaeote	0.963784336
Archaea_Crenarchaeota_MCG_Unknown_order_Unknown_family_Assigned_genus81_Assigned_species13_96	d__Archaea; p__Crenarchaeota; c__Bathyarchaeia; o__Bathyarchaeia; f__Bathyarchaeia; g__Bathyarchaeia; s__uncultured_crenarchaeote	0.963361815
Archaea_Crenarchaeota_MCG_Unknown_order_Unknown_family_Assigned_genus81_Assigned_species13_97	d__Archaea; p__Crenarchaeota; c__Bathyarchaeia; o__Bathyarchaeia; f__Bathyarchaeia; g__Bathyarchaeia; s__uncultured_crenarchaeote	0.96079178
Archaea_Crenarchaeota_MCG_Unknown_order_Unknown_family_Assigned_genus81_Assigned_species13_98	d__Archaea; p__Crenarchaeota; c__Bathyarchaeia; o__Bathyarchaeia; f__Bathyarchaeia; g__Bathyarchaeia; s__uncultured_crenarchaeote	0.967590725
